"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000225159" 0 2 1 2 0 1
"ENSG00000260063" 29 49 22 10 8 9
"ENSG00000272088" 1 0 1 0 0 0
"ENSG00000228338" 0 0 0 0 0 0
"ENSG00000270728" 12 10 6 0 7 9
"ENSG00000169641" 1696 1421 1813 760 886 1014
"ENSG00000181773" 15 19 30 2 2 0
"ENSG00000175707" 0 0 0 0 0 0
"ENSG00000241547" 1 7 10 5 2 1
"ENSG00000224129" 0 0 0 0 0 0
"ENSG00000234166" 0 0 0 0 0 0
"ENSG00000230228" 0 0 0 0 0 0
"ENSG00000237436" 41 44 26 14 27 16
"ENSG00000233954" 47 105 124 55 71 57
"ENSG00000174950" 0 0 0 0 0 0
"ENSG00000235282" 0 0 0 0 0 0
"ENSG00000055070" 2739 2420 2827 1307 1397 1492
"ENSG00000225891" 1 3 6 1 7 3
"ENSG00000175087" 332 384 398 163 194 225
"ENSG00000171735" 431 627 686 257 307 298
"ENSG00000157191" 539 947 1104 569 566 553
"ENSG00000270733" 0 0 4 1 0 0
"ENSG00000284699" 0 0 0 0 0 2
"ENSG00000133226" 1085 626 894 242 271 397
"ENSG00000229985" 0 0 0 0 0 0
"ENSG00000162482" 5 3 4 0 0 0
"ENSG00000230035" 0 0 0 0 0 0
"ENSG00000235185" 0 1 0 1 0 0
"ENSG00000236782" 1 11 3 1 2 0
"ENSG00000215910" 0 0 0 0 0 0
"ENSG00000116663" 117 213 213 172 155 128
"ENSG00000225643" 0 1 0 2 1 1
"ENSG00000215695" 0 0 0 0 0 0
"ENSG00000284666" 0 0 0 0 0 0
"ENSG00000243659" 0 0 0 2 0 0
"ENSG00000240553" 1 2 0 0 0 0
"ENSG00000228943" 0 0 0 0 0 0
"ENSG00000215906" 0 2 0 0 0 0
"ENSG00000230703" 1 0 0 0 1 0
"ENSG00000188822" 0 1 0 3 0 0
"ENSG00000232848" 0 0 0 0 0 0
"ENSG00000234397" 0 0 0 0 0 0
"ENSG00000090273" 719 481 721 196 208 236
"ENSG00000284309" 0 0 0 0 0 0
"ENSG00000227868" 2 0 1 0 0 0
"ENSG00000269925" 17 15 12 6 5 5
"ENSG00000142751" 440 630 675 324 332 298
"ENSG00000189266" 985 1723 1782 912 1130 810
"ENSG00000162511" 2 4 7 0 6 1
"ENSG00000158014" 0 0 1 0 0 0
"ENSG00000204138" 623 265 465 199 231 312
"ENSG00000233419" 0 0 0 0 0 0
"ENSG00000235263" 0 1 0 0 0 0
"ENSG00000228176" 2 5 2 1 1 0
"ENSG00000229106" 0 2 0 0 0 0
"ENSG00000236155" 0 0 0 0 1 1
"ENSG00000231251" 0 0 0 0 0 0
"ENSG00000142675" 0 0 3 4 1 0
"ENSG00000197245" 2 8 2 1 1 1
"ENSG00000231949" 0 0 0 0 0 0
"ENSG00000261025" 0 0 0 0 0 0
"ENSG00000116237" 6817 10018 10813 4088 4549 3924
"ENSG00000158195" 2012 851 1341 515 550 906
"ENSG00000130772" 256 467 453 291 308 276
"ENSG00000215899" 0 2 0 0 0 0
"ENSG00000237429" 0 0 0 0 0 0
"ENSG00000271398" 0 0 0 0 0 0
"ENSG00000225011" 0 0 0 0 0 0
"ENSG00000215905" 0 0 1 0 0 0
"ENSG00000240731" 5 13 13 4 3 0
"ENSG00000235069" 0 0 0 0 0 0
"ENSG00000172746" 0 0 0 0 0 0
"ENSG00000284676" 0 0 0 0 0 0
"ENSG00000237058" 0 0 0 0 0 0
"ENSG00000204160" 804 1219 1311 524 554 454
"ENSG00000233399" 0 0 0 0 0 0
"ENSG00000090020" 108 47 88 23 31 35
"ENSG00000225990" 0 0 0 0 0 0
"ENSG00000157978" 383 716 738 294 291 277
"ENSG00000226944" 0 3 4 2 4 3
"ENSG00000158246" 19 38 27 6 6 6
"ENSG00000270282" 0 1 0 0 0 0
"ENSG00000130770" 90 102 126 45 50 74
"ENSG00000117305" 325 530 575 534 532 466
"ENSG00000235131" 0 0 0 0 0 0
"ENSG00000229044" 0 0 2 0 0 0
"ENSG00000162512" 764 621 700 339 373 402
"ENSG00000179840" 0 0 0 0 0 0
"ENSG00000272449" 10 36 59 23 29 21
"ENSG00000214973" 1 0 2 1 1 2
